"id","created_at","name","has_test","alternate_url"
"123143442","2025-07-23T12:16:07+0300","Data Scientist (Middle) / Специалист по машинному обучению и оптимизации",false,"https://hh.ru/vacancy/123143442"
"123613186","2025-08-04T17:11:07+0300","Data Scientist",false,"https://hh.ru/vacancy/123613186"
"123681284","2025-08-06T09:14:52+0300","Data Scientist / ML-специалист",false,"https://hh.ru/vacancy/123681284"
"123671848","2025-08-05T19:08:16+0300","Data Scientist",false,"https://hh.ru/vacancy/123671848"
"123110215","2025-07-22T14:54:12+0300","Middle data scientist (классический ml)",false,"https://hh.ru/vacancy/123110215"
"123484931","2025-08-06T16:51:20+0300","Engineering Manager / Team Lead",false,"https://hh.ru/vacancy/123484931"
"123651307","2025-08-05T13:50:12+0300","Backend-разработчик Python (AI / RAG-системы)",false,"https://hh.ru/vacancy/123651307"
"123557711","2025-08-04T09:03:26+0300","Таргетолог",false,"https://hh.ru/vacancy/123557711"
"123557335","2025-08-04T08:59:43+0300","Data Scientist (математическое моделирование)",false,"https://hh.ru/vacancy/123557335"
"123441557","2025-08-05T18:17:30+0300","Data Scientist",false,"https://hh.ru/vacancy/123441557"
"122940580","2025-07-17T12:41:08+0300","Ведущий разработчик искусственного интеллекта/Middle Data scientist",false,"https://hh.ru/vacancy/122940580"
"123697055","2025-08-06T12:41:10+0300","Data Scientist",false,"https://hh.ru/vacancy/123697055"
"123449297","2025-07-31T08:47:09+0300","Data-scientist",false,"https://hh.ru/vacancy/123449297"
"122837835","2025-07-15T19:28:06+0300","LLM/ML Engineer",false,"https://hh.ru/vacancy/122837835"
"123056401","2025-08-05T17:27:32+0300","Data scientist",false,"https://hh.ru/vacancy/123056401"
"123302703","2025-07-28T10:52:08+0300","Data Scientist (Antifraud), г. Якутск",false,"https://hh.ru/vacancy/123302703"
"123463613","2025-07-31T12:22:06+0300","Data Scientist / ML-инженер",false,"https://hh.ru/vacancy/123463613"
"123692218","2025-08-06T11:30:46+0300","Data Scientist",false,"https://hh.ru/vacancy/123692218"
"123694055","2025-08-06T11:55:09+0300","Data Scientist",false,"https://hh.ru/vacancy/123694055"
"123594756","2025-08-04T13:09:17+0300","Data analyst (BI аналитик)",false,"https://hh.ru/vacancy/123594756"
